<<<<<<< HEAD
82 154 42
18 113 30
114 166 132
74 168 182
142 16 189
195 118 32
151 88 40
78 87 48
5 93 66
46 123 72
123 183 59
44 16 170
99 120 136
4 111 116
97 69 181
86 85 139
135 26 116
43 34 106
87 101 55
56 95 164
170 150 32
135 87 121
108 91 155
85 92 107
62 178 91
44 192 36
39 153 17
169 124 149
197 94 100
54 53 127
19 156 5
47 41 63
110 56 42
17 39 30
66 76 69
170 40 13
187 75 17
111 148 27
153 158 10
179 127 123
183 135 172
151 191 162
96 125 92
73 172 125
41 154 149
152 177 2
180 129 12
139 138 103
80 0 133
50 16 132
=======
44 192 36
82 154 42
169 124 149
87 101 55
180 129 12
123 183 59
110 56 42
56 95 164
153 158 10
39 153 17
44 192 36
73 172 125
4 111 116
56 95 164
50 16 132
179 127 123
139 138 103
170 150 32
195 118 32
180 129 12
46 123 72
18 113 30
54 53 127
17 39 30
114 166 132
187 75 17
99 120 136
151 88 40
142 16 189
135 87 121
82 154 42
44 16 170
78 87 48
86 85 139
170 150 32
152 177 2
99 120 136
195 118 32
187 75 17
97 69 181
54 53 127
108 91 155
78 87 48
66 76 69
50 16 132
43 34 106
19 156 5
18 113 30
85 92 107
4 111 116
>>>>>>> d146798fc6279e40956c8a3d276d5d9c0a580473
